lat,lon,name,type
48.8298598,2.3564266,Restaurantistanbul,Fastfood
48.8714523,2.3041019,Mcdonalds,Fastfood
48.8319249,2.3247582,Pokézone,Fastfood
48.8708417,2.3567986,Faste,Fastfood
48.8665236,2.3465227,Lebellan,Fastfood
48.827498,2.3718441,Otacos,Fastfood
48.8304902,2.3544604,Lüks,Fastfood
48.8304333,2.3542652,Smatch,Fastfood
48.8740637,2.3160851,Ankkaboétie,Fastfood
48.8544579,2.3624454,Subway,Fastfood
48.8735748,2.3177002,Primaverde,Fastfood
48.8359585,2.3467604,Thesandwicherie,Fastfood
48.8332646,2.3318599,Berliner,Fastfood
48.878092,2.2851801,Sushiétoile,Fastfood
48.8329088,2.4001708,Pizza4you,Fastfood
48.8662074,2.339699,Rotistreet,Fastfood
48.8337767,2.3536196,Bioburger,Fastfood
48.8323923,2.3545576,Goodfood,Fastfood
48.88768,2.297948,Lerendezvousdemidi,Fastfood
48.8300769,2.3528929,Favoritefood,Fastfood
48.8525392,2.3892934,Lefournildeparis,Fastfood
48.8526917,2.3890319,Nouveauxdélices,Fastfood
48.881361,2.294963,Chickenstore,Fastfood
48.881394,2.295041,Nemesisartisankebabier,Fastfood
48.8396212,2.3497285,Compagniedesglaces,Fastfood
48.8401276,2.3498418,Bocamexa,Fastfood
48.8402183,2.3497081,Asieprestige,Fastfood
48.8403006,2.349696,Zamane,Fastfood
48.8405594,2.3497771,Rôtisseriesegar,Fastfood
48.84095,2.3497288,Restaurantméditerrannée,Fastfood
48.8419165,2.3497914,Vista,Fastfood
48.842072,2.3498351,Sushispot,Fastfood
48.8424242,2.3498245,Tanghulu,Fastfood
48.842797,2.3495936,Auptitgrec,Fastfood
48.8428394,2.3495838,Restaurantistanbul,Fastfood
48.8428906,2.3495719,Crêperiemouffetard,Fastfood
48.8436278,2.3493777,Singh,Fastfood
48.8441847,2.3493876,Genia,Fastfood
48.8603464,2.3558088,Lemandarinderambuteau,Fastfood
48.8690272,2.3251599,Pretamanger,Fastfood
48.877034,2.327136,Éphèse,Fastfood
48.8522732,2.3263458,Cojean,Fastfood
48.8898348,2.3752178,Mcdonalds,Fastfood
48.8612055,2.3479949,Burgerking,Fastfood
48.8458615,2.3544188,Kebabistanbul,Fastfood
48.8461919,2.3543474,Phillyobtb,Fastfood
48.8303038,2.3757207,Asiastory,Fastfood
48.8306843,2.3753807,Bigfernand,Fastfood
48.8342079,2.4196014,Zakko,Fastfood
48.8757429,2.327251,Maîtrekebabier,Fastfood
48.8485811,2.341348,Pokéshop,Fastfood
48.8335553,2.3314664,Sushishop,Fastfood
48.8765787,2.3774487,Allopizza,Fastfood
48.8759744,2.3808497,Legâteausurlacerise,Fastfood
48.881279,2.285366,Legourmet,Fastfood
48.8501437,2.3788464,Italianmeal,Fastfood
48.8504944,2.3783154,Breadway,Fastfood
48.8501185,2.3780311,Pizzaciao,Fastfood
48.8467987,2.3783255,Venisepizza,Fastfood
48.8496807,2.3704181,Arisbagel,Fastfood
48.8467182,2.3827301,Cristaldoner,Fastfood
48.8602996,2.3436624,Hddiner,Fastfood
48.8780446,2.374325,Paradisepizza,Fastfood
48.8755076,2.3737735,Atspasto,Fastfood
